rankdate,CPILFESL
199601,163.7
199602,164
199603,164.4
199604,164.6
199605,165
199606,165.4
199607,165.7
199608,166
199609,166.5
199610,166.8
199611,167.2
199612,167.4
199701,167.8
199702,168.1
199703,168.4
199704,168.9
199705,169.2
199706,169.4
199707,169.7
199708,169.8
199709,170.2
199710,170.6
199711,170.8
199712,171.2
199801,171.6
199802,171.9
199803,172.2
199804,172.5
199805,172.9
199806,173.2
199807,173.5
199808,174
199809,174.2
199810,174.4
199811,174.8
199812,175.4
199901,175.6
199902,175.6
199903,175.7
199904,176.3
199905,176.5
199906,176.6
199907,177.1
199908,177.3
199909,177.8
199910,178.1
199911,178.4
199912,178.7
200001,179.3
200002,179.4
200003,180
200004,180.3
200005,180.7
200006,181.1
200007,181.5
200008,181.9
200009,182.3
200010,182.6
200011,183.1
200012,183.3
200101,183.9
200102,184.4
200103,184.7
200104,185.1
200105,185.3
200106,186
200107,186.4
200108,186.7
200109,187.1
200110,187.4
200111,188.1
200112,188.4
200201,188.7
200202,189.1
200203,189.2
200204,189.7
200205,190
200206,190.2
200207,190.5
200208,191.1
200209,191.3
200210,191.5
200211,191.9
200212,192.1
200301,192.4
200302,192.5
200303,192.5
200304,192.5
200305,192.9
200306,193
200307,193.4
200308,193.6
200309,193.7
200310,194
200311,194
200312,194.2
200401,194.6
200402,194.9
200403,195.5
200404,195.9
200405,196.2
200406,196.6
200407,196.8
200408,196.9
200409,197.5
200410,197.9
200411,198.3
200412,198.6
200501,199
200502,199.4
200503,200.1
200504,200.2
200505,200.5
200506,200.6
200507,200.9
200508,201.1
200509,201.3
200510,202
200511,202.5
200512,202.8
200601,203.2
200602,203.6
200603,204.3
200604,204.8
200605,205.4
200606,205.9
200607,206.3
200608,206.8
200609,207.2
200610,207.6
200611,207.8
200612,208.1
200701,208.6
200702,209.135
200703,209.418
200704,209.747
200705,210.058
200706,210.392
200707,210.773
200708,211.119
200709,211.554
200710,212.077
200711,212.66
200712,213.168
200801,213.771
200802,213.939
200803,214.42
200804,214.56
200805,214.936
200806,215.424
200807,215.965
200808,216.393
200809,216.713
200810,216.788
200811,216.947
200812,216.925
200901,217.346
200902,217.792
200903,218.253
200904,218.706
200905,218.904
200906,219.112
200907,219.263
200908,219.496
200909,219.92
200910,220.501
200911,220.666
200912,220.881
201001,220.633
201002,220.731
201003,220.783
201004,220.822
201005,220.962
201006,221.194
201007,221.363
201008,221.509
201009,221.711
201010,221.83
201011,222.149
201012,222.343
201101,222.803
201102,223.213
201103,223.454
201104,223.727
201105,224.175
201106,224.697
201107,225.218
201108,225.862
201109,226.118
201110,226.506
201111,226.899
201112,227.405
201201,227.877
201202,228.034
201203,228.478
201204,228.905
201205,229.224
201206,229.623
201207,229.97
201208,230.233
201209,230.659
201210,231.024
201211,231.33
201212,231.725
201301,232.229
201302,232.569
201303,232.794
201304,232.832
201305,232.996
201306,233.35
201307,233.88
201308,234.336
201309,234.7
201310,234.921
201311,235.359
201312,235.759
201401,235.961
201402,236.185
201403,236.625
201404,237.072
201405,237.529
201406,237.837
201407,238.195
201408,238.405
201409,238.786
201410,239.191
201411,239.458
201412,239.584
201501,239.811
201502,240.172
201503,240.755
201504,241.346
201505,241.688
201506,242.064
201507,242.565
201508,242.817
201509,243.316
201510,243.768
201511,244.241
201512,244.547
201601,244.955
201602,245.51
201603,245.913
201604,246.551
201605,247.137
201606,247.54
201607,247.829
201608,248.423
201609,248.842
201610,249.142
201611,249.481
201612,249.92
201701,250.467
201702,250.998
201703,250.944
201704,251.227
201705,251.43
201706,251.746
201707,251.985
201708,252.535
201709,252.812
201710,253.526
201711,253.816
201712,254.344
201801,255.204
201802,255.711
201803,256.271
201804,256.63
201805,257.145
201806,257.399
201807,257.699
201808,257.891
201809,258.368
201810,258.917
201811,259.439
201812,260.063
201901,260.686
201902,261.067
201903,261.537
201904,261.976
201905,262.304
201906,262.859
201907,263.313
201908,263.975
201909,264.425
201910,264.94
201911,265.484
201912,265.924
202001,266.626
202002,267.283
202003,267.09
202004,265.771
202005,265.574
202006,265.952
202007,267.352
202008,268.469
202009,268.938
202010,269.236
202011,269.901
202012,270.267
202101,270.383
202102,270.727
202103,271.526
202104,273.615
202105,275.654
202106,277.676
202107,278.522
202108,279.057
202109,279.755
202110,281.588
202111,283.34
202112,285.193
202201,286.792
202202,288.147
202203,289.046
202204,290.41
202205,292.251
202206,294.017
202207,294.925
202208,296.639
202209,298.339
202210,299.333
202211,300.261
202212,301.46
202301,302.702
202302,304.07
202303,305.24
202304,306.489
