rankdate,Mkt_5,Mkt_3,Mkt_1_5,LLTG_1_5,HLTG_1_5,LLTG_1_3,HLTG_1_3,LLTG_error,HLTG_error,PMO_1_5,PMO_1_3,PMO_error
200705,-0.04039431418971223,-0.23916716163765467,-0.7427799007042554,-0.4727828367185322,-0.168830256201449,-0.5430675014440076,-0.4476130089232959,-0.115421317971847,-0.145213816872746,-0.3039525805170832,-0.0954544925207117,0.02979249890089901
200706,0.011932647147603465,-0.27644820509870743,-0.7893966887017558,-0.42065444187961154,-0.2547331390567732,-0.5690019297883413,-0.5607138023203356,-0.118384429221074,-0.144662505234691,-0.16592130282283835,-0.008288127468005668,0.026278076013617008
200707,0.05449217549691343,-0.17612446941636248,-0.5185313188409648,-0.2173381868213583,-0.12173515618352651,-0.4180321313886455,-0.47820873440377987,-0.114319063420942,-0.146880119777821,-0.09560303063783179,0.06017660301513439,0.032561056356879
200708,0.06896103795536283,-0.23148460264976256,-0.6063359848502208,-0.25355057405074344,-0.22650899636545965,-0.4025745597063856,-0.5555554072748142,-0.119036591094435,-0.13466257417831,-0.027041577685283785,0.1529808475684286,0.015625983083875014
200709,0.05513638325894925,-0.18378858643659174,-0.8329408354206139,-0.3941486326334199,-0.6527086619369755,-0.480798812844074,-0.7748240118237693,-0.113920911166812,-0.133085536929611,0.2585600293035556,0.29402519897969526,0.01916462576279901
200710,0.01539252444790622,-0.17148918062045665,-1.0631408876390083,-0.5004321494682737,-1.041770104733169,-0.6233287808496951,-1.1133564502640187,-0.106572696120702,-0.13832067899089,0.5413379552648951,0.49002766941432363,0.03174798287018801
200711,0.07221420711897622,-0.11575930749831666,-0.8506740242201556,-0.42931300962137575,-0.8726920102716034,-0.5975415846904596,-1.030145299338263,-0.127249760612098,-0.131306333105039,0.4433790006502276,0.43260371464780334,0.004056572492941002
200712,0.08913046694044012,-0.0462939993854532,-0.7031121720937202,-0.3456809274825284,-0.8685836432529778,-0.5399024564750043,-0.9473275476346358,-0.116411752611872,-0.130978237391748,0.5229027157704493,0.40742509115963144,0.014566484779875988
200801,0.20613998424112584,0.03695196115404101,-0.3980609935407104,-0.3626049511289045,-0.12814491649665458,-0.6425001160011223,-0.5644430609979257,-0.116080996512501,-0.0952366806290047,-0.23446003463224993,-0.0780570550031966,-0.020844315883496306
200802,0.2363257012185398,0.09634542349191993,-0.28424442488148327,-0.33158397120993277,-0.055715863620075246,-0.6730505360600679,-0.5310092361089886,-0.0886288367451894,-0.162831124626657,-0.2758681075898575,-0.14204129995107928,0.0742022878814676
200803,0.2815351801953303,0.11018176939107302,-0.033356731823080354,-0.018295174069983378,0.17526638619290374,-0.4420726319871205,-0.3472937588820564,-0.0779594097299452,-0.172186135209411,-0.19356156026288712,-0.09477887310506411,0.09422672547946581
200804,0.24643523074522586,0.08845095068429806,-0.11469825254699048,-0.14410789481552563,-0.14145502729498807,-0.482409675701325,-0.497976780454294,-0.0857772733479309,-0.150122836358935,-0.0026528675205375607,0.015567104752969019,0.06434556301100411
200805,0.24175603528985834,0.04972791870364707,-0.3034225924813394,-0.26642573872454783,-0.4737916108441296,-0.531042633868421,-0.6966811672503711,-0.0729009783814067,-0.149627895965096,0.20736587211958174,0.16563853338195011,0.07672691758368931
200806,0.3082533659670298,0.11278559048394816,0.03643861076762922,-0.02558242474590583,-0.2757514448397719,-0.43164639929144794,-0.6010443841832458,-0.086030632595759,-0.170356691609636,0.25016902009386605,0.16939798489179786,0.08432605901387702
200807,0.37310592564980727,0.10348121799323474,0.28079164324841444,0.5049329875797925,0.2590234136962813,-0.10074580890071692,-0.2585649434621025,-0.0846658037201158,-0.166476347372869,0.24590957388351126,0.15781913456138558,0.08181054365275321
200808,0.33646605474856345,0.033617689927262356,0.16232727524615004,0.298508832512418,0.2333673301877744,-0.19184792146689225,-0.3377661978066325,-0.0966130228706413,-0.153764078299853,0.06514150232464361,0.14591827633974022,0.0571510554292117
200809,0.47662498622021954,0.0480851532619781,0.7595524271682531,0.7223492498910495,1.354735140087583,0.07546808920563015,0.3455423338778718,-0.0943128254828635,-0.123175563988221,-0.6323858901965334,-0.27007424467224167,0.028862738505357505
200810,0.7201256464099626,0.36060368683785654,1.8710311967285875,1.33920536176474,2.4873301728427615,0.4572923907495222,1.0963322942507796,-0.0864340687547607,-0.15142167871585,-1.1481248110780216,-0.6390399035012574,0.0649876099610893
200811,0.833280020366836,0.4427990320791907,2.376899696860886,1.7458771639629849,3.339962966288835,0.7049463340314865,1.6152707617458315,-0.0559032255343042,-0.141897741112394,-1.5940858023258502,-0.910324427714345,0.0859945155780898
200812,0.8371152322304907,0.4244758167654188,2.4022272760314562,1.6746627942372583,3.3780511949520036,0.6745541628529668,1.6578633345615295,-0.0449462628087582,-0.129951578385172,-1.7033884007147453,-0.9833091717085627,0.08500531557641379
200901,0.8872483731272783,0.5578418885519574,2.840277665587279,2.346825619451094,3.409890881679644,1.054473888852956,1.6842152349001904,-0.0429285276362134,-0.105151740947563,-1.06306526222855,-0.6297413460472345,0.06222321331134959
200902,1.0379917998097776,0.7038216632082259,3.5033199503648778,3.0742140819450894,3.829839790518987,1.490884389833206,1.9684110538370678,-0.0119206858924781,-0.165472172849827,-0.7556257085738975,-0.4775266640038618,0.15355148695734888
200903,0.959275946789317,0.6443267148167882,3.229589560010946,2.7428347712429177,3.59963531439079,1.2893675414079637,1.876239589959678,-0.0196733601421307,-0.209729481537087,-0.8568005431478722,-0.5868720485517143,0.1900561213949563
200904,0.8569495761388946,0.5335690737394753,2.7890217457754494,2.450446589720519,3.0795309232122703,1.102101293071903,1.584369948579313,-0.0221158496452303,-0.206948866646197,-0.6290843334917513,-0.48226865550741005,0.1848330170009667
200905,0.8114094253487617,0.40007687987884527,2.3492491344303286,1.9878537065132154,2.816582890947881,0.7765191324289398,1.3018369534169423,0.0202741859521683,-0.141419996878475,-0.8287291844346658,-0.5253178209880025,0.1616941828306433
200906,0.8420404068816463,0.4405715926190085,2.3401994986896515,2.035021853877913,2.775152367729231,0.8103563685793833,1.2711504270688416,0.024435458222425,-0.128323072842803,-0.7401305138513181,-0.4607940584894583,0.152758531065228
200907,0.7426400353529449,0.3722059225373981,2.048843585957744,1.8097158662422261,2.63334003811024,0.6843744112013692,1.1822611408065558,0.0114033728128407,-0.105532094731398,-0.8236241718680137,-0.49788672960518654,0.1169354675442387
