date,rankdate,LTG,lag_LTG,delta_LTG,Mkt,SMB,HML,RMW,CMA,f_SMB,f_HML,f_RMW,f_CMA,Mkt_1_5,SMB_1,SMB_2,SMB_3,SMB_4,SMB_5,HML_1,HML_2,HML_3,HML_4,HML_5,RMW_1,RMW_2,RMW_3,RMW_4,RMW_5,CMA_1,CMA_2,CMA_3,CMA_4,CMA_5,SMB_1_5,HML_1_5,RMW_1_5,CMA_1_5
1981-12-31,198112,0.134847761374666,,,-0.028498244831423204,0.0025544928254557166,0.02641101077661243,-0.01113550099066348,0.002318536906795754,0.144587210424334,0.122690490847665,-0.129504567139529,0.0292531969607462,0.8389338043174266,0.279905731063837,0.39356467484704716,0.3383667340661022,0.3098682416411564,0.30140575664100705,0.19451343544407898,0.29971786227903435,0.5159780371341065,0.5964302553663117,0.6461689423762209,-0.2693342477156789,-0.3263151250651825,-0.3593001834127903,-0.38842649323173684,-0.40825260734065694,0.0560461742376695,0.19099672417593253,0.250435981248468,0.2708358250014477,0.38056148101896714,1.552811300711527,2.1280284098696614,-1.6674851364436396,1.0827175319438966
1982-01-29,198201,0.137855580848258,,,-0.026558577420422887,0.016021002408667676,0.060041927560161176,-0.06982488051210137,0.02640952220640108,0.179939070308466,0.125220627088586,-0.148055299172824,0.0922362225618771,0.9863808128808764,0.25788229719696665,0.3379007842739589,0.3331284030679718,0.2766616496742662,0.28472640416828754,0.18600766584179723,0.3130201697456558,0.4509601373974567,0.524698763836684,0.5763511854527047,-0.2599511480405313,-0.2512641606653468,-0.2878303929988378,-0.34216738532538343,-0.3671808292988722,0.04921503205054528,0.21654245646529285,0.19095409570070554,0.23311551691817867,0.34827886380443673,1.4251071467591192,1.93960608954794,-1.4356989477337376,0.9792876202717994
1982-02-26,198202,0.135460844289983,,,-0.052479260525354364,0.04430718407750998,0.08547213887021664,-0.04438934713466939,-0.017973573848483852,0.133546873816724,0.120846767337026,-0.0915148783252255,0.0107465468506073,1.0856692290543029,0.2524113459206875,0.26452594463501533,0.28239139502114446,0.22625801355155273,0.21644063046604542,0.07467466406935327,0.30425691211123995,0.36379303077853364,0.43729964504910934,0.4683137862502099,-0.19965007030917215,-0.2178636787827808,-0.2183333804050418,-0.30750080404029084,-0.3422255677215612,0.048069387329922324,0.25565742540087505,0.25189752813020455,0.24308637241832912,0.3612671489986779,1.1899580283650901,1.5560723907403728,-1.221147755866616,1.0958015399480519
1982-03-31,198203,0.13408754781679,,,-0.010152361259936453,0.012161704270899455,0.05300121984324478,-0.034798998127774754,-0.025144723346945112,0.154259383327633,0.0672699986644436,-0.0868777509495934,-0.0020134428045529,1.1192099380867686,0.2859755733275039,0.2554067202748939,0.2738492549501066,0.2148026086724456,0.22278079807336149,-0.0006239043406276283,0.2725247485322194,0.3246735940352306,0.3917936551123456,0.47891105433283593,-0.1446744274188333,-0.20119283374785119,-0.19137017685648805,-0.27763874543781214,-0.30720960731747543,0.07598833036135032,0.2959238777752557,0.3189568236659933,0.2667524059117808,0.411657512354509,1.2015319986082817,1.3795306254979567,-1.0642257032157516,1.2953063610513236
1982-04-30,198204,0.137453694349588,,,0.04235905264096043,0.014856748575357463,-0.05159040043245685,0.0020494876430422475,0.013405737039233716,0.151233815233137,0.0544539824765303,-0.0841209732833126,-0.0053914712411321,1.0597087957785505,0.27435087547440246,0.23483182194100022,0.2618816653315039,0.2212636717141489,0.2091843508795852,0.060902805546521166,0.32550440779506407,0.39659776990987144,0.42497750930019873,0.568008904944575,-0.14810515155920861,-0.19784960589439274,-0.16073285962276643,-0.2709992265094768,-0.3250328800453193,0.07129308132637717,0.2910091537498989,0.29535495102678544,0.2914474200606587,0.38261787960030835,1.1519744001074297,1.6739661226771048,-1.0451839715365172,1.2597993791635431
1982-05-28,198205,0.134946293670883,,,-0.028618634337925365,0.018144528595750792,0.015602094752239275,0.049965521002817134,-0.017171917044252315,0.156143455299989,0.0517280642233821,-0.0762675417150173,-0.0070121172978651,1.0934373521984087,0.2458141409329839,0.2181696234344877,0.23716970337780086,0.1928989883289733,0.19119148905119146,-0.01742187870622207,0.31398315943387767,0.40093894832941995,0.395682924331596,0.5868735149770887,-0.1434633399202864,-0.22525534889260787,-0.19842175306471124,-0.31402705179070534,-0.37724046029358954,0.10519229798224694,0.3072779536857353,0.27281483198375206,0.3271026287248757,0.40019149290152545,1.0405979947424844,1.5783877946557539,-1.1912355131215748,1.3374238937495346
1982-06-30,198206,0.13352020984624,,,-0.0242035571974575,0.024926749298055065,0.022533342071003392,-0.046728468623005774,0.0014609826186995432,0.15250646892601,0.0471493672318999,-0.0762318796071539,0.0042519083484524,1.1603698844723362,0.23298351044769572,0.18186958810930604,0.19949493341485863,0.17143020650502971,0.17422336417920864,-0.06081680034286875,0.27379467716481565,0.36849380582944763,0.3658392332313585,0.567800152281507,-0.07365888598106064,-0.18248414238283794,-0.15535975137973826,-0.25482200953393774,-0.3178803429624411,0.10606659490007032,0.3016753739382764,0.2960288672628096,0.35666808501329245,0.4042354555470619,0.9207200834354035,1.4193949194810322,-0.9289349117394983,1.3863222165724003
1982-07-30,198207,0.132241952222579,,,-0.020738565149400486,-2.8711177224849044e-05,0.09860755462034003,-0.09866621353950852,0.007886902157735388,0.153683800879011,0.0209370209616134,-0.0129472291900977,-0.150478934358362,1.2244045011374884,0.2433950273712911,0.1749704974983555,0.19988380841061643,0.16434176442924597,0.1612346855719658,-0.10825801035542387,0.17082182270119511,0.286455160842089,0.28633891357222985,0.4487595230190426,-0.01956767845226927,-0.13116879512835236,-0.09818237249663088,-0.18661348090835495,-0.2587802282767811,0.11942873028399728,0.26758651678825984,0.27433042225172966,0.3408175477891432,0.3962938081391768,0.9062731481953081,1.0098855763707326,-0.6523307391094034,1.3235602732003566
1982-08-31,198208,0.130698369156771,,,0.1124497277083523,0.03460075608802002,0.017975738988737926,-0.004740643367300767,0.017247906935914263,0.142599809668267,0.0214629318453779,-0.0387737619127748,-0.200486933693821,1.1484284476929076,0.19315533780329108,0.1685513807833622,0.15166680408671593,0.14657044701748137,0.1449878032306921,-0.05501819926944364,0.15126159251738736,0.29654596316072174,0.2862191868972767,0.4008134558715323,-0.03702230606101451,-0.09685193478539639,-0.08884031632669112,-0.1613348848685131,-0.23306142067816538,0.12672110120402083,0.2476204225879657,0.27087935169576566,0.3490725697435018,0.3679576026402311,0.7722356421892961,1.0097442707027555,-0.580202298900288,1.289867697676624
1982-09-30,198209,0.124848695671361,,,0.016627002096428787,0.02857491539742422,-0.023040159602594226,0.006764334871571081,-0.007031566787337315,0.145734999387755,0.0088204013145038,-0.0317035648419267,-0.202686786703889,1.1108096515216725,0.17831165348364766,0.13285397575188512,0.11859705460046976,0.11749270315247055,0.12645584567252796,-0.024015847970953245,0.20650585545749806,0.3304636168965442,0.3291186089636865,0.45562463893404603,-0.038568074117970856,-0.10114513267530006,-0.11014649723978946,-0.14309391990304549,-0.23783001290699143,0.13054389871420077,0.2555890776149198,0.2948381235236913,0.3769276734664097,0.39276179153371216,0.6467976089259578,1.2173085867266074,-0.5936204113611092,1.3730565667717078
