rankdate,Mkt,LLTG_RET,HLTG_RET,LLTG_error,HLTG_error
198509,-0.039826,-0.0301741818188251,-0.0513794722509418,-0.112880668399783,-0.267392386161866
198510,0.044441,0.062776284542309,0.058964672629866,-0.117703677455222,-0.269764955970264
198511,0.069228,0.0169358689474718,0.103650458106517,-0.121946709690389,-0.235396656047319
198512,0.043061,0.0341627421367357,0.0535856738001047,-0.0975901464489112,-0.239117672592691
198601,0.00983,0.0104689753013407,0.0433824497584614,-0.10573597115077,-0.226382372465276
198602,0.072501,0.0570178220425787,0.0896149989844646,-0.051423872803472,-0.15108014351388
198603,0.053887,0.0487045002969419,0.043652280932471,-0.0837985874183132,-0.150557064314107
198604,-0.007903,-0.0351998068855503,-0.00661809411265807,-0.0947324034662989,-0.143557388221273
198605,0.050847,0.0457657042317909,0.0680977487484658,-0.0872420908315029,-0.152822613012927
198606,0.014244,0.019848276602054,-0.00595345782972099,-0.0867888025632696,-0.148228895973395
198607,-0.0597,-0.00452736310252228,-0.055975919850578,-0.0761411056672256,-0.16638651934642
198608,0.066183,0.116462441096693,0.0567440360100708,-0.0796476193021912,-0.153751625734855
198609,-0.07902,-0.0537538153318717,-0.119681762924715,-0.0802132106674793,-0.154641051527397
198610,0.049305,0.0501017358171234,0.070879668413031,-0.0812856751929749,-0.168403265403713
198611,0.015093,0.0208951018854892,0.0324250499048416,-0.0866428240588094,-0.173216991836093
198612,-0.026387,-0.0214088632770665,-0.0327130313346573,-0.0838991799700563,-0.19052914652834
198701,0.128499,0.137348951673079,0.179741324036561,-0.0966326295246202,-0.262852553765202
198702,0.047922,-0.0216665589160647,0.0988081790668872,-0.0849468251521358,-0.249773803369789
198703,0.023664,0.0653260995713575,0.0153793551403596,-0.0780287522346583,-0.244874813437795
198704,-0.016996,0.00150408350811875,-0.0120826315921391,-0.0671738862240311,-0.259617861306862
198705,0.005123,0.00172035937192846,0.0141684285234232,-0.0637406521682497,-0.271425970991381
198706,0.043655,0.041085924271632,0.0413437841644358,-0.10018154423392,-0.253885754016124
198707,0.044247,0.0192891741345944,0.0566084590940119,-0.0779604259949723,-0.24456657909208
198708,0.037147,0.0379524805176926,0.0767181398043352,-0.0757128481522668,-0.234382287381249
198709,-0.020773,-0.0324600045453175,-0.0312094702528456,-0.086557941818465,-0.240673984162732
198710,-0.225361,-0.149611289640807,-0.243899487665308,-0.0830358893598322,-0.234278024754269
198711,-0.072272,-0.073077048087279,-0.10794933387025,-0.0774239525576809,-0.219303287362202
